cluster,model,observable,tracer,shape_y,shape_x,spatial_block_count,target_blocks_per_axis,observed_ratio,bootstrap_n,block_ratio_mean,block_ratio_sd,block_ratio_p05,block_ratio_p50,block_ratio_p95,log_ratio_se
abell2744,merten_v1,kappa,chandra_xray_sigma1,180,180,461,24,1.424557072131549,500,1.4194893170256897,0.12289157780521393,1.222637315013007,1.4131719921838433,1.638545885321531,0.08672742981021375
abell2744,merten_v1,kappa,chandra_xray_radius_exposure_residual_z,180,180,461,24,1.6861625132037086,500,1.6669068346320497,0.18168666643434087,1.3587751140141033,1.6713787569512388,1.9532929669574999,0.11191472210077802
abell2744,merten_v1,magnif,chandra_xray_sigma1,180,180,461,24,1.408582355980568,500,1.3916182027871766,0.12955985885370513,1.1781691101073728,1.3943406056168874,1.5970731903424025,0.0943478399201248
abell2744,merten_v1,magnif,chandra_xray_radius_exposure_residual_z,180,180,461,24,1.6829343830896257,500,1.674762080812092,0.17440375388409962,1.4004362465826812,1.670606565058209,1.949185049888367,0.10594121842752934
abell2744,cats_v4.1,kappa,chandra_xray_sigma1,2000,2000,576,24,1.195118258910453,500,1.2071944648627146,0.12460270494930549,1.0288067881399319,1.1951174051869244,1.4112623497812822,0.10196110523968212
abell2744,cats_v4.1,kappa,chandra_xray_radius_exposure_residual_z,2000,2000,576,24,1.602312895976148,500,1.6134999255148557,0.21533052810426034,1.2461684736239493,1.6268329699304804,1.9347343752723989,0.13835910626377596
abell2744,cats_v4.1,magnif,chandra_xray_sigma1,2000,2000,576,24,1.1904133596792894,500,1.2003783658813167,0.11645253511470402,1.0324424363824145,1.1940908999695266,1.4062355920945184,0.0951824166827547
abell2744,cats_v4.1,magnif,chandra_xray_radius_exposure_residual_z,2000,2000,576,24,1.700509060824802,500,1.6870107294589107,0.2208099007917971,1.3501994377394437,1.683454118202178,2.028064930001054,0.1340839437170739
abell2744,diego_v4.1,kappa,chandra_xray_sigma1,512,512,576,24,1.186700896983039,500,1.1863652031158745,0.14934186116305218,0.9354378296071029,1.1868613640815653,1.4338070837029437,0.12881266698733215
abell2744,diego_v4.1,kappa,chandra_xray_radius_exposure_residual_z,512,512,576,24,1.7240592195543765,500,1.709732290267611,0.448652897701178,0.9654763767627885,1.6694993890414218,2.504031696104339,0.2759868691518245
abell2744,diego_v4.1,magnif,chandra_xray_sigma1,512,512,576,24,1.3563446704810216,500,1.361263568526665,0.15778665092750652,1.107431938647526,1.3523866321817488,1.627747463287074,0.11622978232946726
abell2744,diego_v4.1,magnif,chandra_xray_radius_exposure_residual_z,512,512,576,24,1.9115809083620245,500,1.9547565189495355,0.3702822236749961,1.3929075613639743,1.9485048533504714,2.6048703304339726,0.19215746579911178
abell2744,williams_v4,kappa,chandra_xray_sigma1,678,678,576,24,2.537316749158862,500,2.544293603965067,0.30280462745512143,2.08159854188159,2.516614442541007,3.0810406319752577,0.11791010614140905
abell2744,williams_v4,kappa,chandra_xray_radius_exposure_residual_z,678,678,576,24,2.2382897100384023,500,2.263360075259303,0.33049008530779644,1.7352269523571693,2.2641341163899185,2.821238643301954,0.14899597303785986
abell2744,williams_v4,magnif,chandra_xray_sigma1,678,678,566,24,3.331941697829754,500,3.335824717992456,0.32926248337697284,2.8345420549463647,3.3241292231390203,3.907155230254579,0.09803372798938069
abell2744,williams_v4,magnif,chandra_xray_radius_exposure_residual_z,678,678,566,24,2.8079340180997274,500,2.8156523039581516,0.3742911082301525,2.234199188160692,2.787034778154643,3.4453106175630457,0.13423164361536435
abell370,merten_v1,kappa,chandra_xray_sigma1,240,240,520,24,1.515913951440433,500,1.5062113916500144,0.14677171885717388,1.2649072771830068,1.5085663810034404,1.7484765962234425,0.09850277878035926
abell370,merten_v1,kappa,chandra_xray_radius_exposure_residual_z,240,240,520,24,1.8508206330597892,500,1.8376190886598434,0.2582124208663749,1.4335319361214995,1.8346012682264137,2.2941597581396294,0.1430902760505147
abell370,merten_v1,magnif,chandra_xray_sigma1,240,240,520,24,1.5081888907071683,500,1.4916521518827153,0.14603763124514374,1.2370251139064796,1.4907925191589508,1.727345895397038,0.10051456536836147
abell370,merten_v1,magnif,chandra_xray_radius_exposure_residual_z,240,240,520,24,1.8370585197365108,500,1.8320776755514339,0.23923465693695692,1.4220259030963738,1.8383381448444471,2.211033508994747,0.1351401134248976
abell370,cats_v4,kappa,chandra_xray_sigma1,3000,3000,576,24,1.3078526324434627,500,1.3200752993336358,0.13546229096066445,1.1198878501099725,1.3087039761818775,1.5535947406515096,0.10159639216725255
abell370,cats_v4,kappa,chandra_xray_radius_exposure_residual_z,3000,3000,576,24,1.403637117424507,500,1.3963935322308032,0.1454195731454074,1.1310827888286292,1.4030548820362758,1.6216940280550676,0.1065397504772984
abell370,cats_v4,magnif,chandra_xray_sigma1,3000,3000,576,24,1.302646048383497,500,1.3146717338588982,0.1416765558772985,1.113360120240335,1.3032683864962669,1.5651032900654391,0.10508135592461508
abell370,cats_v4,magnif,chandra_xray_radius_exposure_residual_z,3000,3000,576,24,1.3804429198796084,500,1.3930513871550663,0.1375793383468718,1.156754087743012,1.395767683923488,1.626267856064889,0.10012239912022189
abell370,diego_v4.1,kappa,chandra_xray_sigma1,512,512,576,24,1.2766361605072438,500,1.29548250346677,0.1386641349128596,1.0920042511843016,1.281362835381119,1.5567110473104404,0.104007391688247
abell370,diego_v4.1,kappa,chandra_xray_radius_exposure_residual_z,512,512,576,24,3.050882189393435,500,3.0712475731732374,0.7608120518757893,1.8904697688450485,3.0111712044298535,4.377499923307183,0.2660033117215284
abell370,diego_v4.1,magnif,chandra_xray_sigma1,512,512,576,24,1.0724642310252164,500,1.0706895069601765,0.1211084161549532,0.8848760423881847,1.0681506638520846,1.2723837972541185,0.11249533764263714
abell370,diego_v4.1,magnif,chandra_xray_radius_exposure_residual_z,512,512,576,24,2.38016313355541,500,2.357539579570491,0.49421330651054446,1.6477799767954173,2.3562703448735682,3.174035157293376,0.2168885697878999
abell370,williams_v4.1,kappa,chandra_xray_sigma1,749,749,576,24,1.283592880487944,500,1.293621819017946,0.1261464341025323,1.110600600567233,1.279730292719417,1.5159204844111471,0.09547100700776201
abell370,williams_v4.1,kappa,chandra_xray_radius_exposure_residual_z,749,749,576,24,2.6989581216880882,500,2.7085205044421716,0.7339968862991352,1.579867422252637,2.72279525971158,3.958523941439962,0.31286368376528656
abell370,williams_v4.1,magnif,chandra_xray_sigma1,749,749,576,24,0.7441254680211087,500,0.731832316227385,0.14536647316271414,0.504337357315762,0.7388414292776964,0.9611291894708675,0.20518923050427204
abell370,williams_v4.1,magnif,chandra_xray_radius_exposure_residual_z,749,749,576,24,1.253745232859985,500,1.242659712792336,0.2383085405894025,0.8606778695803263,1.2380940941448486,1.6317136122503308,0.1988968530608876
abells1063,merten_v1,kappa,chandra_xray_sigma1,132,132,202,24,1.2592859898211866,500,1.254669662484276,0.16782610514671348,1.0080072723941784,1.23634936324573,1.5342064597141116,0.1317078673694378
abells1063,merten_v1,kappa,chandra_xray_radius_exposure_residual_z,132,132,202,24,1.505714273208353,500,1.462042948190976,0.28076856997323185,0.9964288392325175,1.4772329626267593,1.879689089549813,0.21423816323129502
abells1063,merten_v1,magnif,chandra_xray_sigma1,132,132,202,24,1.2667762256915913,500,1.256891711031077,0.16172834899641822,1.0108178953182752,1.2512651743621492,1.5210424468444337,0.12914389314565147
abells1063,merten_v1,magnif,chandra_xray_radius_exposure_residual_z,132,132,202,24,1.515673441267654,500,1.4999541140103114,0.2553105201616465,1.072376730282479,1.4983593600556158,1.932431116488519,0.17881895205958848
abells1063,cats_v4.1,kappa,chandra_xray_sigma1,1500,1500,576,24,1.2645015070593968,500,1.2755747129689017,0.14145954960396706,1.0609232088359517,1.2689484782561957,1.5218582764450004,0.11000581243374953
abells1063,cats_v4.1,kappa,chandra_xray_radius_exposure_residual_z,1500,1500,576,24,1.5815319628104096,500,1.569903434201591,0.16106510915284783,1.3056431962523103,1.557213033048774,1.843497792811798,0.10313660761188957
abells1063,cats_v4.1,magnif,chandra_xray_sigma1,1500,1500,576,24,1.2700126203211628,500,1.2787756844574505,0.13223221439932187,1.0770257301094233,1.2669036427476819,1.5140264183659256,0.10196649961059062
abells1063,cats_v4.1,magnif,chandra_xray_radius_exposure_residual_z,1500,1500,576,24,1.6273829799681014,500,1.6256161678356955,0.1484208594423501,1.3804641748476516,1.617931706286145,1.869410216322707,0.09137990104536708
abells1063,diego_v4.1,kappa,chandra_xray_sigma1,512,512,576,24,1.3136186709192772,500,1.327898476072967,0.13620514711020484,1.1232426759875618,1.3135671019934922,1.5701209338280517,0.10141902266908923
abells1063,diego_v4.1,kappa,chandra_xray_radius_exposure_residual_z,512,512,576,24,1.675075084416025,500,1.6672977125056405,0.16970973117462057,1.3841252949009302,1.6657132097092686,1.9391362054500076,0.10299262020837659
abells1063,diego_v4.1,magnif,chandra_xray_sigma1,512,512,576,24,1.2627094302353437,500,1.2720740578388356,0.1254078892802175,1.0781956505986559,1.2683845122863733,1.4750298128078403,0.09789410356627098
