cluster,model,observable,tracer,shape_y,shape_x,spatial_block_count,target_blocks_per_axis,observed_ratio,bootstrap_n,block_ratio_mean,block_ratio_sd,block_ratio_p05,block_ratio_p50,block_ratio_p95,log_ratio_se
rxj1347,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.22728547533319,300,1.2375112919912474,0.13502377030783871,1.0228828196124196,1.2309097760708267,1.4689077207927905,0.1089503536601702
rxj1347,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.569924817770986,300,1.559358364115956,0.13286366355503193,1.363461219060188,1.550716373284926,1.7722602620826404,0.08556482464585527
rxj1347,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,0.8220035676304478,300,0.8270647479316299,0.1208839307509628,0.6323561915085446,0.8263906046469863,1.0106540626728826,0.14949925914520643
rxj1347,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.0664435077404435,300,1.080968417986262,0.14992643312342033,0.8448359819170617,1.0811471009111302,1.310750371268593,0.13982201697922478
rxj1347,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2060267645520075,300,1.2142346335186447,0.12068712266107114,1.0324990160607634,1.2068719461078288,1.4156639919538627,0.09847371898725871
rxj1347,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.61907697575527,300,1.6151913519219003,0.13750036076323388,1.3963503865439852,1.6052492606580704,1.8417716780869995,0.0851080711599804
rxj1347,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.0145407065938143,300,1.0259211030568585,0.12309779712657389,0.8298719500672376,1.0186912632221983,1.2507194141104416,0.11918631215074563
rxj1347,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.2891770208256297,300,1.2832030147330666,0.14041028945132203,1.0504809201392318,1.2795606607302665,1.4889320163443258,0.11121959996629223
macs2129,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2762502868618124,300,1.2804518458583238,0.11893918557584134,1.0913546927777917,1.2707459738119176,1.4904975171203647,0.09260439734116759
macs2129,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5596825463021675,300,1.5565582306876868,0.16133122821753934,1.3034580164223444,1.5542252152772096,1.8370496288574436,0.10446645351360898
macs2129,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.1196331410030704,300,1.1232846588594103,0.12059627374918487,0.9393276310306539,1.1195739723356906,1.3379084608106568,0.10699956413875769
macs2129,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.0429768410087503,300,1.0527663238617382,0.14890449383356444,0.8296635087736016,1.0519592894504919,1.3017515004910234,0.1432442159584884
macs2129,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.231415455463697,300,1.242934875854965,0.11728581390956738,1.0618184774636454,1.2427373113285767,1.438471659592214,0.09388451502569843
macs2129,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.6358906442462913,300,1.6381742726167756,0.1684329223543074,1.3607762177704288,1.632221629949958,1.8991395968276334,0.10311481202660334
macs2129,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.165771533676056,300,1.1871232185705398,0.12132808340412078,1.0116540043275113,1.1750397616681654,1.4295327211034072,0.10014084183027717
macs2129,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.1880561690638995,300,1.20851676288227,0.16056476538806444,0.9422688796581371,1.2130059280827123,1.4486188098965285,0.13724027606927477
macs1206,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.1918273705363207,300,1.2042863036915676,0.11263609912285107,1.0278590602778892,1.199825798160751,1.385330183415725,0.09324916490854622
macs1206,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5057537088169406,300,1.5122979604345028,0.13967734976084908,1.31081841974304,1.4970488512114328,1.7577107299972798,0.09236839140175432
macs1206,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,0.9948358643883004,300,0.9848311248983425,0.1122211291892949,0.8026685855394318,0.9857024984095124,1.1626833471604898,0.11513177978970322
macs1206,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,0.833344571382879,300,0.829332743962977,0.14009876231876842,0.6031223322589723,0.8355825640667027,1.0470023804483206,0.17428124398909525
macs1206,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.216934356352969,300,1.224758001461177,0.12487063369852067,1.030018132323589,1.2233178502307638,1.4394197635439563,0.10173119584800061
macs1206,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5421362328138362,300,1.537707130553569,0.14832858835506116,1.3061083644760059,1.529849805862447,1.772575967292739,0.09709732540830808
macs1206,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.1086247419287212,300,1.1151223786326192,0.11909846700112356,0.9350153067760849,1.104921501041749,1.3203313808584574,0.10586044182366178
macs1206,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.0452202617681934,300,1.0533183328462585,0.1543671640544109,0.811986064401986,1.0523999976298568,1.3073149035411258,0.1483419358483217
clj1226,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.189814213416627,300,1.184658430361673,0.10918547657046893,1.021839622978954,1.176809494682355,1.3735891620445961,0.09052687095222937
clj1226,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.4477966821576247,300,1.4508347632741938,0.18936437922771657,1.1406454883407082,1.4504816762209214,1.7318326860088085,0.13435990751431337
clj1226,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.0410482201049212,300,1.0510348059374666,0.10892715439378668,0.8886110282456845,1.0412471816795965,1.2330062672634299,0.10156821738674716
clj1226,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,0.8337825779184964,300,0.8220901019142711,0.15263994489657087,0.5612570086184431,0.8205672005830298,1.0657483294736447,0.19578150631078098
clj1226,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2008409706792322,300,1.2169056659875526,0.1095855773420931,1.0663201560054243,1.209456396139709,1.4016856891995273,0.08830710138402836
clj1226,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5111207729458205,300,1.5144515343977871,0.19144175540329741,1.1820278280448222,1.5165885337541198,1.814728141934687,0.12968471926272065
clj1226,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.065271544725103,300,1.0671755420525828,0.10904120682904259,0.8984849956875742,1.0581246791473586,1.2691610099649675,0.10186847480629475
clj1226,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,0.8749932884459274,300,0.8706219457094335,0.1644473200274195,0.61317609144772,0.8712348233696152,1.1446881564170992,0.19646387726632733
ms2137,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.125961343707037,300,1.1465664969833518,0.12715579116658277,0.9639443680654904,1.1190446733922368,1.3776724045392494,0.10899322972141921
ms2137,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.4281711642982535,300,1.4236696817518952,0.11529660150894692,1.2280420913892303,1.4273224226410868,1.6046421540398133,0.0813341433536714
ms2137,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.1205436437972325,300,1.1236392568943283,0.12401983570999911,0.9391688215175706,1.1227009762755609,1.3395949151631477,0.10880499142333297
ms2137,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.2692622251780543,300,1.2565534369419629,0.10030476417280228,1.0787076590824924,1.2556960636859846,1.4236428677561401,0.08108974400887105
ms2137,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.123583512212294,300,1.1431721393072776,0.1164224305141901,0.9688049834732299,1.1412864751755236,1.344629944451541,0.10071007300655518
ms2137,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.330304474338856,300,1.3194159867465471,0.0955054435953837,1.162648926616166,1.3169940681589805,1.4807992891947337,0.07223243793269638
ms2137,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.1212378956586828,300,1.1362935572530821,0.11865489011917572,0.9676428623364844,1.116687033327503,1.3514783556957741,0.10257531351152013
ms2137,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.2361626608181304,300,1.2336793827917776,0.09908164357005397,1.0761803152258884,1.229688299998152,1.3831289923551757,0.08019352909793807
macs1423,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2101254881163868,300,1.2249917715415066,0.1323802286909361,1.0315486988756224,1.2153276563460182,1.4514554081237945,0.10645485835826546
macs1423,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.3545452543843732,300,1.3371051013253794,0.1283149803993127,1.1346510964133045,1.3363003038311443,1.543438292721033,0.09644686413648905
macs1423,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.104633148730371,300,1.101544533047028,0.11594784377404702,0.9254340059998805,1.0879476920828743,1.3082872676178676,0.10380829941631098
macs1423,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,0.959586399394054,300,0.9554262913675621,0.1229808618126081,0.7560914883475436,0.949302619745072,1.1639945242799001,0.13011959848939367
macs1423,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.2453286762103792,300,1.2616244040124378,0.1237432763128949,1.0957929082009186,1.2584561403062229,1.4711482535903562,0.09613457642578899
macs1423,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.5535279238882322,300,1.534330364927219,0.1359840092746666,1.3191591594512528,1.5430740666767915,1.7484587048445424,0.08926547184686556
macs1423,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,576,24,1.2181157754536442,300,1.234402130873496,0.12314870664496866,1.0517377803139474,1.2294245078372972,1.4620490580854317,0.09886777813945606
macs1423,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.2224665148297444,300,1.2219052757351998,0.12990712527498643,0.9910227669476441,1.2254406636427837,1.4353254873222816,0.10770688752737559
abell2261,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,576,24,1.1466907441088483,300,1.153817772188327,0.12007248490186152,0.9744947031155555,1.144329357961766,1.3699096593427378,0.10298996096126282
abell2261,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.3928282573708062,300,1.3823703446407622,0.14280233490831712,1.1626212425477185,1.379801292833408,1.6227824111801765,0.10361371263104534
abell2261,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,576,24,1.1400935878701035,300,1.1610377674647694,0.11795880288041817,0.9881212784810245,1.1496883648813028,1.3664680024682114,0.0985706428384383
abell2261,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.1448563672896817,300,1.1545282018111225,0.1362004773523249,0.924195481614679,1.1524213880230585,1.3673831987079745,0.11801588169494379
abell2261,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,576,24,1.161649738109489,300,1.1770767407449674,0.12198203024169516,0.9964111821822472,1.1704383211554605,1.3870545432697907,0.10270068217457819
abell2261,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,576,24,1.352297212836236,300,1.3482509096471953,0.14838783314013054,1.1179842366443762,1.3393175269687185,1.600563636417247,0.1110517620565735
